id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/JASAL3/65/TORNEY	doi	Filling<U+00A0>Terra Nullius: Bony in the Deathspace	Kay TORNEY	JASAL	SI	1	1995-01-01	108-112	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9962
data/JASAL3/66/TURCOTTE	doi	Mrs Fraser's Ravenous Appetite: The Taste for Cannibalism in Captivitiy Narratives	Gerry TURCOTTE	JASAL	SI	1	1995-01-01	165-174	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9972
data/JASAL3/67/VAN den BERG	doi	Rewriting the Mainstream	Rosemary VAN den BERG	JASAL	SI	1	1995-01-01	159-161	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9970
data/JASAL3/68/WALWICZ	doi	Look at Me, Ma--I'm Going to Be a Marginal Writer!	Ania WALWICZ	JASAL	SI	1	1995-01-01	162-164	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9971
data/JASAL3/69/WARK	doi	Virtual Geography: Living with Global Media Events	McKenzie WARK	JASAL	SI	1	1995-01-01	188-196	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/10228
data/JASAL3/70/BARKER	doi	The Milk of Mother's Kindness in Brian Castro'sDrift	Karen BARKER	JASAL	SI	1	1996-01-01	228-235	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9492
data/JASAL3/71/BARTLETT	doi	A Rose Is A...:Maternal Debt in Ania Walwicz's<U+00A0>Red Roses	Alison BARTLETT	JASAL	SI	1	1996-01-01	189-195	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9487
data/JASAL3/72/BUFFI	doi	Colour and Line to Word: The Writing of Janine Burke	Roberta BUFFI	JASAL	SI	1	1996-01-01	196-203	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9488
data/JASAL3/73/DE LA VALL	doi	Babylon or Jerusalem?: An Inversion of terms	Elisa Morera DE LA VALL	JASAL	SI	1	1996-01-01	137-143	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9480
data/JASAL3/74/DURING	doi	Literary Subjectivity	Simon DURING	JASAL	SI	1	1996-01-01	1,12	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9465
data/JASAL3/75/GAFFNEY	doi	The Fruit-Tree and the Veranda	Carmel GAFFNEY	JASAL	SI	1	1996-01-01	85-94	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9474
data/JASAL3/76/GELDER & JACOBS	doi	The Postcolonial Ghost Story	Ken GELDER and Jane M. JACOBS	JASAL	SI	1	1996-01-01	110-120	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9477
data/JASAL3/77/HENDERSON	doi	Collision Courses: Feminism, Postmodernism andThe Monkey's Mask	Margaret HENDERSON	JASAL	SI	1	1996-01-01	180-188	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9486
data/JASAL3/78/HOGAN	doi	'A Mob of Bloody Women'--Utopia,Collectivity and Multiplicity in Some Recent Fiction by Australian Women	Eleanor HOGAN	JASAL	SI	1	1996-01-01	236-251	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9493
data/JASAL3/79/KALNINS	doi	Good Writing: The Ethics and Aesthetics of Fiction	Patricia KALNINS	JASAL	SI	1	1996-01-01	172-179	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9485
data/JASAL3/80/KELLY	doi	In Search of the Colonial 'Australian' Playwright	Veronica KELLY	JASAL	SI	1	1996-01-01	262-269	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9496
data/JASAL3/81/KHOO	doi	Someone Else's Zoo: Asian Australian Women's Writing	Tseen Ling KHOO	JASAL	SI	1	1996-01-01	23-29	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9467
data/JASAL3/82/KIRKPATRICK	doi	Rethinking Poetry and the Popular or How to Resuscitate and Immoral Piece of Poultry	Peter KIRKPATRICK	JASAL	SI	1	1996-01-01	95-102	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9475
data/JASAL3/83/LEVER	doi	Postmodernism, History and Satire: David Foster and Salman Rushdie	Susan LEVER	JASAL	SI	1	1996-01-01	214-220	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9490
data/JASAL3/84/LOVELL	doi	The Search for Agency in the Fiction of Janette Turner Hospital	Sue LOVELL	JASAL	SI	1	1996-01-01	204-213	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9489
data/JASAL3/85/McCOOEY	doi	My Life as a Joke: Comic Australian Autobiography	David McCOOEY	JASAL	SI	1	1996-01-01	57-63	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9471
data/JASAL3/86/MESHER	doi	King Kong and Kung Fu: Asian and American Images in Georgia Savage's Gold Coast Novels	David MESHER	JASAL	SI	1	1996-01-01	13-22	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9466
data/JASAL3/87/MIELS	doi	'Gold Out of Straw': An Introduction to the Life and Work of Amy Witting	Yvonne MIELS	JASAL	SI	1	1996-01-01	39-49	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9469
data/JASAL3/88/MOORE	doi	'Threatened People Don't Breed': The Maternal Strike in Australian Women's Writing 1920s to 1950	Nicole MOORE	JASAL	SI	1	1996-01-01	252-261	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9495
data/JASAL3/90/RATCLIFFE	doi	An Un-Becoming Paradise: The Yandilli Trilogy	Greg RATCLIFFE	JASAL	SI	1	1996-01-01	164-171	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9484
data/JASAL3/91/RICHARDS	doi	Liars<U+00A0>vs<U+00A0>The New Diversity: Is there an Alternative to 'Postmodernist' Literary Studies?	Cameron RICHARDS	JASAL	SI	1	1996-01-01	30-38	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9468
data/JASAL3/92/ROONEY	doi	She Casts Herself as Revolutionary: Performance and Performativity in<U+00A0>The Man Who Loved Children	Brigid ROONEY	JASAL	SI	1	1996-01-01	129-136	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9479
data/JASAL3/93/DALZIELL	doi	Telling Shameful Stories: Autobiography as Testimony	Rosamund DALZIELL	JASAL	SI	1	1996-01-01	64-75	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9472
data/JASAL3/94/ROSS	doi	bony as Grotesque: The Dilemma of National Identity in Arthur Upfield's Bony Series, 1930-1950	Glen ROSS	JASAL	SI	1	1996-01-01	152-158	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9482
data/JASAL3/95/SAREEN	doi	The Aboriginal Fiction Maker and the White Fiction Maker: The Variant Perceptual Cognitions	S. K. SAREEN	JASAL	SI	1	1996-01-01	144-151	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9481
data/JASAL3/96/SCHWARZ	doi	Between Two Deaths: The Love Poetry of Gwen Harwood	Susan SCHWARZ	JASAL	SI	1	1996-01-01	103-109	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9476
data/JASAL3/97/SLOGGETT	doi	'Delirious Monologues': Christina Stead's 'Egotistical Monsters'	Maria SLOGGETT	JASAL	SI	1	1996-01-01	121-128	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9478
data/JASAL3/98/DALZIELL	doi	Beyond the Verandah: Elizabeth Jolley's<U+00A0>The Orchard Thieves<U+00A0>and Drusilla Modjeska's<U+00A0>The Orchard	DALZIELL	JASAL	SI	1	1996-01-01	50-56	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9470
data/JASAL3/99/TYAS	doi	Sounding Out History: Landscape and Exploration in Recent Australian Fiction	Gillain TYAS	JASAL	SI	1	1996-01-01	159-163	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9483
data/JASAL3/100/WEBB	doi	Aussie Rules: Writing and Social Practice in a Regional Community	Jen WEBB	JASAL	SI	1	1996-01-01	243-251	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9494
data/JASAL3/101/WEST	doi	The Ethical Vision of Gerald Murnane	Patrick WEST	JASAL	SI	1	1996-01-01	221-227	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9491
data/JASAL3/102/ATTARD	doi	Nomadology in Kylie Tennant's<U+00A0>The Battlers	Karen ATTARD	JASAL	SI	1	1997-01-01	94-98	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9513
data/JASAL3/103/BOWERS	doi	Dwelling Within: Identity and Home in Contemporary Australian Autobiography	Tim BOWERS	JASAL	SI	1	1997-01-01	216-219	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9534
data/JASAL3/104/BRUNET	doi	Rewriting the Landscape: Judith Wright's Fragile Land and Haunted Self	Sandra BRUNET	JASAL	SI	1	1997-01-01	64-69	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9508
data/JASAL3/105/BULLEN	doi	Gendered Spaces: The Frontier in Rod Jones's<U+00A0>Billy Sunday	Elizabeth BULLEN	JASAL	SI	1	1997-01-01	70-75	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9509
data/JASAL3/106/BYRNE	doi	The Road to Babi Yar: Anti-historicism in Recent Australian Fiction	Trevor BYRNE	JASAL	SI	1	1997-01-01	209-215	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9533
data/JASAL3/107/CARSON	doi	Conversations with the Land: Environmental Questions and Eleanor Dark	Susan CARSON	JASAL	SI	1	1997-01-01	191-196	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9530
data/JASAL3/108/CLUNIES-ROSS	doi	Music, Poetry and the Natural Environment	Bruce CLUNIES-ROSS	JASAL	SI	1	1997-01-01	185-190	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9529
data/JASAL3/109/COLLETT	doi	'In a season without languages': Translative Process in the Poetry of Ouyang Yu, Vasso Kalamaras, Ania Walwicz and Antigone Kefala	Anne COLLETT	JASAL	SI	1	1997-01-01	232-238	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9537
data/JASAL3/110/COLLIS	doi	Exploring Tracks: Writing and Living Desert Space	Christy COLLIS	JASAL	SI	1	1997-01-01	179-184	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9528
data/JASAL3/111/HASKELL	doi	Bruce Dawe: Language, Self and Place	Dennis HASKELL	JASAL	SI	1	1997-01-01	243-249	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9539
