id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/ALS/ad-hopes-latter-day-ulysses-james-wieland-10-4	doi	A.D. Hope’s Latter-Day Ulysses : ‘The End of a Journey’ and the Literary Background	James Wieland	Australian Literary Studies	10	4	1982-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ad-hopes-latter-day-ulysses-the-end-of-a-journey-and-the-literary-background
data/ALS/ad-hopes-three-faces-susan-moore-10-3	doi	A.D. Hope’s ‘Three Faces of Love’	Susan Moore	Australian Literary Studies	10	3	1982-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ad-hopes-three-faces-of-love
data/ALS/ada-cambridge-and-the-margaret-bradstock-louise-wakeling-14-3	doi	Ada Cambridge and the First Thirty Years	Margaret Bradstock, Louise Wakeling	Australian Literary Studies	14	3	1990-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ada-cambridge-and-the-first-thirty-years
data/ALS/ada-cambridge-gf-cross-robert-j-dingley-15-3	doi	Ada Cambridge, G.F. Cross, and ‘The Modern Pulpit’	Robert J. Dingley	Australian Literary Studies	15	3	1992-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ada-cambridge-gf-cross-and-the-modern-pulpit
data/ALS/adam-lindsay-gordon-brian-elliott-6-2	doi	Adam Lindsay Gordon : A Small Discovery	Brian Elliott	Australian Literary Studies	6	2	1973-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/adam-lindsay-gordon-a-small-discovery
data/ALS/adam-mccay-and-sydneys-penelope-nelson-11-4	doi	Adam McCay and Sydney’s Literary Bohemia (1911-1947)	Penelope Nelson	Australian Literary Studies	11	4	1984-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/adam-mccay-and-sydneys-literary-bohemia-1911-1947
data/ALS/adaptation-studies-convention-vocal-john-r-severn-29-1-2	doi	Adaptation Studies, Convention, Vocal Production and Embodied Meaning in Verdi’s <em>Macbeth</em>: Rehabilitating the <em>Brindisi</em>, or, Lady Macbeth Unsexes Herself	John R. Severn	Australian Literary Studies	29	1-2	2014-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/adaptation-studies-convention-vocal-production-and-embodied-meaning-in-verdis-emmacbethem-rehabilitating-the-embrindisiem-or-lady-macbeth-unsexes-herself
data/ALS/adapting-australian-novels-for-joanne-tompkins-23-3	doi	Adapting Australian Novels for the Stage : La Boite Theatre’s Version of Last Drinks, Perfect Skin, and Johnno	Joanne Tompkins	Australian Literary Studies	23	3	2008-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/adapting-australian-novels-for-the-stage-la-boite-theatres-version-of-last-drinks-perfect-skin-and-johnno
data/ALS/advice-to-the-middle-kenneth-slessor-15-3	doi	Advice to the Middle Aged	Kenneth Slessor	Australian Literary Studies	15	3	1992-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/advice-to-the-middle-aged
data/ALS/after-925-peter-murphy-12-3	doi	After 925	Peter Murphy	Australian Literary Studies	12	3	1986-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/after-925
data/ALS/after-libertarianism-an-interview-michael-wilding-18-3	doi	After Libertarianism: An Interview with Michael Wilding	Ian Syson, Michael Wilding	Australian Literary Studies	18	3	1998-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/after-libertarianism-an-interview-with-michael-wilding
data/ALS/afterword-the-story-of-tanya-dalziell-28-1-2	doi	Afterword: The Story of a Bookmark	Tanya Dalziell	Australian Literary Studies	28	1-2	2013-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/afterword-the-story-of-a-bookmark
data/ALS/ag-stephens-an-gillian-whitlock-8-1	doi	A.G. Stephens : An Internationalist Critic	Gillian Whitlock	Australian Literary Studies	8	1	1977-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ag-stephens-an-internationalist-critic
data/ALS/ag-stephens-as-editor-alison-stephens-4-1	doi	A.G. Stephens as Editor of Barcroft Boake’s Poems : A Comment	Alison Stephens	Australian Literary Studies	4	1	1969-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ag-stephens-as-editor-of-barcroft-boakes-poems-a-comment
data/ALS/ag-stephens-the-s-e-lee-1-4	doi	A.G. Stephens : The Critical Credo	S. E. Lee	Australian Literary Studies	1	4	1964-12-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ag-stephens-the-critical-credo
data/ALS/ag-stephenss-bookfellow-in-brian-kiernan-16-2	doi	A.G. Stephens’s ‘Bookfellow’ in New Zealand	Brian Kiernan	Australian Literary Studies	16	2	1993-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ag-stephenss-bookfellow-in-new-zealand
data/ALS/ages-of-reason-ethics-martin-duwell-17-3	doi	Ages of Reason: Ethics, Metaphor and the Work of Jennifer Maiden	Martin Duwell	Australian Literary Studies	17	3	1996-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ages-of-reason-ethics-metaphor-and-the-work-of-jennifer-maiden
data/ALS/alan-seymour-alrene-sykes-6-3	doi	Alan Seymour	Alrene Sykes	Australian Literary Studies	6	3	1974-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alan-seymour
data/ALS/alan-wearne-alan-wearne-8-2	doi	Alan Wearne	Alan Wearne	Australian Literary Studies	8	2	1977-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alan-wearne
data/ALS/alan-wearne-interview-alan-wearne-18-4	doi	Alan Wearne : Interview	Martin Duwell, Alan Wearne	Australian Literary Studies	18	4	1998-11-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alan-wearne-interview
data/ALS/alien-intoxications-the-david-crouch-27-2	doi	Alien Intoxications : The Aggressions of a Brisbane Opium Smoker	David Crouch	Australian Literary Studies	27	2	2012-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alien-intoxications-the-aggressions-of-a-brisbane-opium-smoker
data/ALS/all-the-way-to-shirley-walker-21-3	doi	All the Way to Cape Grimm : Reflections on Carmel Bird’s Fiction	Shirley Walker	Australian Literary Studies	21	3	2004-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/all-the-way-to-cape-grimm-reflections-on-carmel-birds-fiction
data/ALS/allegory-space-colonialism-lee-spinks-17-2	doi	Allegory, Space, Colonialism : ‘Remembering Babylon’ and the Production of Colonial History	Lee Spinks	Australian Literary Studies	17	2	1995-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/allegory-space-colonialism-remembering-babylon-and-the-production-of-colonial-history
data/ALS/alone-and-in-close-bernadette-brennan-27-1	doi	‘Alone and in close company’ : Reading and Companionship in Brenda Walker’s Reading by Moonlight	Bernadette Brennan	Australian Literary Studies	27	1	2012-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alone-and-in-close-company-reading-and-companionship-in-brenda-walkers-reading-by-moonlight
data/ALS/along-gender-lines-katherine-bode-24-3-4	doi	Along Gender Lines : Reassessing Relationships between Australian Novels, Gender and Genre from 1939 to 2006	Katherine Bode	Australian Literary Studies	24	3-4/	2009-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/along-gender-lines-reassessing-relationships-between-australian-novels-gender-and-genre-from-1939-to-2006
data/ALS/alrene-sykes-helen-tiffin-14-4	doi	Alrene Sykes	Helen Tiffin	Australian Literary Studies	14	4	1990-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/alrene-sykes
data/ALS/amanda-lohreys-vertigo-blair	doi	Amanda Lohrey's *Vertigo*: An Australian Pastoral.	Ruth Blair	Australian Literary Studies	30	2	2015-06-30	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/amanda-lohreys-vertigo-an-australian-pastoral
data/ALS/ambivalence-absence-and-loss-jo-jones-24-2	doi	Ambivalence, Absence and Loss in David Malouf’s Remembering Babylon	Jo Jones	Australian Literary Studies	24	2	2009-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/ambivalence-absence-and-loss-in-david-maloufs-remembering-babylon
data/ALS/american-dreaming-the-graeme-turner-12-4	doi	American Dreaming : The Fictions of Peter Carey	Graeme Turner	Australian Literary Studies	12	4	1986-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/american-dreaming-the-fictions-of-peter-carey
