id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/SRB/75	doi	Art and Emancipation	Jacques RanciÃ¨re	SRB	9		2013-09-20	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/art-and-emancipation/
data/SRB/76	doi	Same diff	Peter Goldsworthy	SRB	9		2013-09-24	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/same-diff/
data/SRB/77	doi	The grey zone	Anna Krien	SRB	9		2013-09-27	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-grey-zone/
data/SRB/78	doi	In defiance of time	Patrick Leigh Fermor	SRB	10		2013-10-01	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/in-defiance-of-time/
data/SRB/79	doi	So many paths that wind and wind	Bali Kaur Jaswal, Hannah Kent and Graeme Simsion	SRB	10		2013-10-04	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/so-many-paths-that-wind-and-wind/
data/SRB/80	doi	Humiliations accrue	Ali Alizadeh	SRB	10		2013-10-08	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/humiliations-accrue/
data/SRB/81	doi	Cast as a spy	John le CarrÃ© and John le CarrÃ©	SRB	10		2013-10-11	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/le-carre-spy-who-came-delicate-truth/
data/SRB/82	doi	The beginning is nigh	Caspar Henderson	SRB	10		2013-10-14	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-beginning-is-nigh/
data/SRB/83	doi	Matthew Thompson Interview		SRB	10		2013-10-15	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/matthew-thompson-interview/
data/SRB/84	doi	Digging a Hole in the Ocean	Philip Hoare	SRB	10		2013-10-17	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/digging-a-hole-in-the-ocean/
data/SRB/85	doi	The unseemly splatter	Jane Caro (editor), Anna Goldsworthy and Julianne Schultz (editor)	SRB	10		2013-10-22	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-unseemly-splatter/
data/SRB/86	doi	And, and, and		SRB	10		2013-10-25	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/and-and-and/
data/SRB/87	doi	Brittle and brilliant	Paul Kildea	SRB	10		2013-10-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/brittle-and-brilliant/
data/SRB/88	doi	As above, so below	Eleanor Catton	SRB	11		2013-11-01	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/as-above-so-below/
data/SRB/89	doi	Brittle and brilliant		SRB	11		2013-11-01	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/brittle-and-brilliant-2/
data/SRB/90	doi	Lives of the Publishers	John Calder, Loren Glass and Boris Kachka	SRB	11		2013-11-05	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/lives-of-the-publishers/
data/SRB/91	doi	The Real Deal		SRB	11		2013-11-08	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-real-deal/
data/SRB/92	doi	The Worst That Could Happen	George Saunders	SRB	11		2013-11-11	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/tenth-of-december-george-saunders/
data/SRB/93	doi	Oh Walt, youâ€™re a leaky vessel	Christopher Pollnitz (editor)	SRB	11		2013-11-14	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/oh-walt-youre-a-leaky-vessel/
data/SRB/94	doi	Inexorably winnowed	Colleen Ryan and Pamela Williams	SRB	11		2013-11-19	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/inexorably-winnowed/
data/SRB/95	doi	Dare to know!	Anthony Pagden	SRB	11		2013-11-22	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/dare-to-know/
data/SRB/96	doi	Heroes, certainly	Richard Flanagan	SRB	11		2013-11-26	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/heroes-certainly/
data/SRB/97	doi	The Australian Face	Christos Tsiolkas	SRB	11		2013-11-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-australian-face/
data/SRB/98	doi	The Curse of Formalism		SRB	12		2013-12-02	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-curse-of-formalism-2/
data/SRB/99	doi	Mostly private letters	Gabrielle Carey	SRB	12		2013-12-03	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/mostly-private-letters/
data/SRB/100	doi	The quality of mercy	Tim Winton	SRB	12		2013-12-06	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-quality-of-mercy/
data/SRB/101	doi	A Stand for Democracy in the Digital Age		SRB	12		2013-12-10	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/a-stand-for-democracy-in-the-digital-age/
data/SRB/102	doi	Poisoned Waters	Mark Willacy	SRB	12		2013-12-12	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/poisoned-waters/
